experiment_id,cohort,method_id,seed,evaluation_mode,horizon_hours,feature_group,rmse,mae,observed_cells,lineage,component_definition
KDD122,sepsis,dreamer_v3_categorical_rssm,3411,one_step,4,overall,5.718170465953598,0.46839637119146516,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,dreamer_v3_categorical_rssm,3414,one_step,4,overall,5.718208147294234,0.4651262010431177,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,gaussian_transition_ensemble,3408;3411;3414,one_step,4,overall,5.71150102986858,0.43481176940846844,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,persistence_locf,3408,one_step,4,overall,0.7893472049459085,0.39722315222983356,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,hgb_residual,3408,one_step,4,overall,0.7204161103688654,0.3667264386488626,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,hgb_residual,3411,one_step,4,overall,0.7229080049461474,0.36808002094493003,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,hgb_residual,3414,one_step,4,overall,0.7156598458486813,0.3660108658939242,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,grud_world_model,3408,one_step,4,overall,0.7130845783260864,0.3652687388328822,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,grud_world_model,3411,one_step,4,overall,0.7121213208309086,0.36516587207779044,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,grud_world_model,3414,one_step,4,overall,0.7112025362200151,0.36475213458707473,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,transformer_world_model,3408,one_step,4,overall,0.7089113500027945,0.3613771824284006,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
