task,reward_contract,policy,seed,horizon,estimator,denominator,clip,estimate,interval_low,interval_high,ess,ess_fraction,unsupported_target_mass,weight_median,weight_p95,weight_p99,weight_max,finite,evidence_status,development_only_single_pass,preferred_estimator_selected,identified_target_policy_value,diagnostic_changed_estimand,diagnostic_assumption,known_value_median_coverage90,known_value_median_rank_recovery,known_value_median_sign_recovery,known_value_false_improvement_rate,interpretation,descriptive_not_authorization,detail,reason
sepsis,terminal_90d_only,behavior_cloning,3408,4,DR,historical_knn,none,3.811459103395096,-5.073999376519407,15.13556130365616,7.545177230264683,0.0128977388551533,0.0,3.835777225357572,671.0118732669891,3974.7120462822368,49589.47598033608,1.0,reported_support_fragile,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.1428571428571428,0.4,0.2090277777777777,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,WDR,historical_knn,none,0.0534728555971009,0.0086418101587727,0.0769659509763135,7.545177230264683,0.0128977388551533,0.0,3.835777225357572,671.0118732669891,3974.7120462822368,49589.47598033608,1.0,reported_support_fragile,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.2571428571428572,0.6,0.1720833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,FQE,historical_knn,none,0.0366709189972421,0.0363005395160149,0.0370889772888019,7.545177230264683,0.0128977388551533,0.0,3.835777225357572,671.0118732669891,3974.7120462822368,49589.47598033608,1.0,reported_support_fragile,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.0,0.2,0.4,0.2355555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,support_restricted_WPDIS,historical_knn,none,-0.0071425044913932,-0.0216025535949963,0.0009533405204022,7.545177230264683,0.0128977388551533,0.0,3.835777225357572,671.0118732669891,3974.7120462822368,49589.47598033608,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,IS,historical_knn,20.0,-1.7418018577628709,-4.881371878310583,0.2252278631319833,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.4333333333333333,0.3142857142857143,0.4,0.2220833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,WIS,historical_knn,20.0,-0.0125456985459732,-0.0329691591095311,0.0016483108066827,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.5833333333333333,0.4285714285714286,0.6,0.1954166666666666,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,PDIS,historical_knn,20.0,-1.7418018577628709,-4.881371878310583,0.2252278631319833,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.5333333333333333,0.1428571428571428,0.4,0.2070833333333333,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,WPDIS,historical_knn,20.0,-0.0125456985459732,-0.0329691591095311,0.0016483108066827,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1630555555555555,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,CWPDIS,historical_knn,20.0,-0.014180174616929,-0.0376813805380371,0.0017780810180236,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,0.0,none,0.6,0.3142857142857143,0.6,0.1613888888888889,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
sepsis,terminal_90d_only,behavior_cloning,3408,4,DR,historical_knn,20.0,-1.8486132200590215,-5.40785483942234,1.174400792069534,28.73069035949798,0.049112291212817,0.0,3.835777225357572,589.5067056509314,3390.7972642862683,7556.498940223331,1.0,reported_support_fragile,1.0,0.0,1.0,1.0,train_fitted_severity_bin_tabular_nuisance,0.6,0.1428571428571428,0.4,0.2090277777777777,retrospective_association_sensitive_to_support_and_estimator_not_counterfactual_truth,,,
